time top_angle bottom_angle top_x top_y bottom_x bottom_y top_momentum bottom_momentum total_energy
0.018 119.93704403751336 180.0314488505983 0.8613408699256959 0.4960342736703511 0.8602497420167529 1.4909410675688204 -0.256520481885704 0.00007354067384957585 19.739208802178812
0.036 119.69545541290758 180.15158982162396 0.8634247437584588 0.4923980165736527 0.8581655528520729 1.4909377384619904 -0.5651921235461105 0.000780678902684151 19.739208802181626
0.05400000000000001 119.27328545002078 180.3594633405385 0.8670293874239955 0.48602277333803867 0.8545594240025208 1.4909216558134442 -0.8757511025749316 0.0028661324926486705 19.739208802185487
0.07200000000000002 118.6714962579454 180.65120155016803 0.8720862656051995 0.47688954717293264 0.8494985842923811 1.4908770194922112 -1.189175684328052 0.0070423722582154845 19.739208802187274
0.09000000000000004 117.8913849923148 181.02131145441595 0.8784983260943416 0.4649718119515064 0.8430786538623838 1.4907833111969353 -1.5063766606209315 0.01396945436414294 19.73920880218295
0.10800000000000005 116.93450340842514 181.4627071321106 0.8861408256347353 0.4502360847415687 0.835423188665188 1.4906173365200726 -1.828170913659593 0.02423359956064928 19.739208802167962
0.12600000000000006 115.8025558707564 181.966747551214 0.8948622780744301 0.4326425755048487 0.8266830952738733 1.4903556880489737 -2.155253177419241 0.03832374342787885 19.73920880213783
0.14400000000000007 114.49727854160001 182.52327580972627 0.904485420556192 0.4121458708531678 0.817035953232967 1.4899774920048332 -2.4881660980064675 0.05660615359585101 19.739208802088505
0.1620000000000001 113.02030350662511 183.1206541355356 0.914808069232134 0.38869562813054953 0.806685314484387 1.4894672837162934 -2.827268883590518 0.07929743121796477 19.739208802016925
0.1800000000000001 111.37301250276937 183.7457877759256 0.9256037182410537 0.36223728637229413 0.7958600826611729 1.4888178474369758 -3.1727049185927694 0.10643633200602973 19.73920880192136
0.19800000000000012 109.55638555067063 184.3841303068078 0.9366217278708525 0.33271283975862154 0.7848141028957599 1.4880328516775738 -3.5243686854579805 0.13785484380086588 19.73920880180195
0.21600000000000014 107.57085011428596 185.01966311150542 0.9475869522012488 0.30006176510507887 0.7738261100373295 1.4871291080167826 -3.881872211172384 0.17314886109403216 19.739208801661032
0.23400000000000015 105.41613649471597 185.63484292060642 0.9581986741659043 0.2642222467672441 0.763200186579381 1.4861382729078316 -4.244511081754977 0.21164864678402429 19.739208801503597
0.25200000000000017 103.09114521111272 186.21051337513492 0.9681287476238485 0.22513290049281118 0.7532668696310123 1.4851077906173922 -4.61122991011593 0.2523891293929053 19.739208801337764
0.2700000000000002 100.59383240646427 186.72577954912921 0.9770188934875483 0.18273526377903676 0.744385017852158 1.4841008330733754 -4.980587071721999 0.2940800183239607 19.73920880117528
0.2880000000000002 97.9211201471932 187.1578482565237 0.9844771647208219 0.13697739595743194 0.7369445019369749 1.4831949216907394 -5.350718608865248 0.3350757977134978 19.73920880103204
0.3060000000000002 95.0688401484653 187.4818418708007 0.9900736917760687 0.08781901680691534 0.7313697100101633 1.4824788117061902 -5.719301514491749 0.3733459426927661 19.739208800928573
0.32400000000000023 92.03172216627352 187.67059949633722 0.993335959579431 0.03523870409703446 0.7281237508404368 1.4820470793536773 -6.083517200940033 0.4064462435573809 19.739208800890328
0.34200000000000025 88.80344213913627 187.69448687191453 0.9937440682591531 -0.0207562438744366 0.7277130749323122 1.4819916811987843 -6.440016886495498 0.43149296184727487 19.739208800947537
0.36000000000000026 85.37675001506811 187.521245475292 0.9907267140910815 -0.08011662028765262 0.7306919911092697 1.4823895697444611 -6.784891915798061 0.44514268611344515 19.739208801134147
0.3780000000000003 81.7437026168978 187.11592170891714 0.9836590135966321 -0.14273415789546715 0.737666203716509 1.483285286251193 -7.113653634387442 0.4435821532900922 19.73920880148537
0.3960000000000003 77.8960319586287 186.4409278999908 0.9718637876371602 -0.20841994419819868 0.7492940033620087 1.484667376812197 -7.421229224747085 0.4225338001100295 19.739208802033247
0.4140000000000003 73.82568258386746 185.45629625696984 0.954618496538521 -0.2768783504114415 0.7662830960571547 1.4864375982099793 -7.701981585691181 0.37728410435227455 19.73920880280005
0.43200000000000033 69.52555054929243 184.1201917593744 0.9311705855385863 -0.34767720012643005 0.7893802718387827 1.4883723498191834 -7.949762418179969 0.3027423985639042 19.739208803789808
0.45000000000000034 64.99044898155131 182.3897459822184 0.9007643873620377 -0.42021615071332075 0.819350284578208 1.490076777960489 -8.158007559066618 0.19353722755306937 19.739208804979498
0.46800000000000036 60.21830828973756 180.222256582392 0.8626826541988168 -0.49369700526184257 0.8569396403463054 1.4909337389997979 -8.319881755635887 0.04415505504841595 19.73920880631227
0.4860000000000004 55.211592106247195 177.5767636510739 0.8163048872756831 -0.5671017773467667 0.902820816491125 1.4900523829803842 -8.428476463761168 -0.15087765689739976 19.73920880769394
0.5040000000000003 49.97887456873629 174.4159653739331 0.7611825347486795 -0.6391863919496431 0.9575132439406625 1.4862244286053556 -8.477059818052584 -0.3967720999565175 19.739208808992238
0.5220000000000004 44.53648574634874 170.70837826335534 0.6971276522182184 -0.7084992105660683 1.0212797418832515 1.477899792359151 -8.459374774157533 -0.6982197280213488 19.73920881003349
0.5400000000000004 38.91009723422631 166.43059357624344 0.6243069822028615 -0.7734331818798462 1.0940014727136118 1.4631962108541086 -8.36998223039965 -1.059102344448212 19.739208810592242
0.5580000000000004 33.13609549370117 161.56944370513213 0.543328403817327 -0.8323174517366213 1.1750410284678674 1.439958520711 -8.20465213617241 -1.4821633159000203 19.739208810377768
