t theta phi p q c H
0.018 1.419793567328668 4.393632844023784 0.007342177588571018 0.01133013087701417 0 59.18263423683444
0.05100000000000001 1.4039070303252856 4.454588732382547 0.02340736010641719 0.03642405800011746 0 59.18263423683443
0.057000000000000016 1.399171280476537 4.472631034410142 0.026304040480504894 0.04103276957934 0 59.18263423683443
0.07500000000000002 1.381385131626871 4.539886502235277 0.03492637208063284 0.05498659995281282 0 59.18263423683443
0.09300000000000004 1.3579676428971084 4.6272719105194255 0.043420332096463336 0.06918010267872565 0 59.18263423683443
0.11100000000000006 1.3284988477176398 4.735484362162936 0.051749396950550676 0.08367685529744175 0 59.182634236834446
0.13200000000000006 1.2857681814806483 4.889218768229966 0.06120524861285061 0.10106133334432969 0 59.182634236834474
0.15000000000000008 1.2412543831179619 5.045757995305905 0.069036295694515 0.11644595861254926 0 59.18263423683451
0.1680000000000001 1.188660650775546 5.226477173675505 0.07656335509044183 0.13235444872459248 0 59.182634236834595
0.1860000000000001 1.12710356318172 5.432829931278661 0.08373239263267668 0.148864767565361 0 59.18263423683471
0.20400000000000013 1.0555702115369172 5.666478872353764 0.09048304296063586 0.1660600597880127 0 59.182634236834886
0.22500000000000014 0.9579619563191955 5.976096146429256 0.09773924482790536 0.18710624524272246 0 59.18263423683521
0.24300000000000016 0.8606672052518434 6.275668862977682 0.10333986655830595 0.2061006412056791 0 59.18263423683567
0.2610000000000002 0.7492323014556632 6.609337171060702 0.1082771788653581 0.22608720155167808 0 59.18263423683632
0.2790000000000002 0.6220060518380706 6.9797861943250155 0.11245234435448652 0.2471804699959199 0 59.182634236837316
0.2970000000000002 0.4771596716857971 7.389985316448644 0.11575359469493401 0.26950555058489417 0 59.182634236838794
0.3150000000000002 0.3126786805980828 7.843202132824899 0.1180543828430417 0.2931996395952306 0 59.18263423684098
0.33300000000000024 0.12635671936959625 8.34301425956204 0.11921126600394528 0.31841379787157664 0 59.182634236844194
0.35100000000000026 359.91579236513957 8.893317619571349 0.11906147492806124 0.3453150082519945 0 59.18263423684889
0.36900000000000027 359.6783903110107 9.498329451342386 0.11742012333366382 0.3740885658606433 0 59.182634236855726
0.3870000000000003 359.41136859342913 10.162583877710517 0.11407701407069429 0.40494084801141167 0 59.18263423686556
0.4050000000000003 359.11177386936964 10.89091746660148 0.10879300965324251 0.4381025017763485 0 59.1826342368796
0.4230000000000003 358.7765070182409 11.688441879217862 0.10129595900730236 0.4738320659522716 0 59.182634236899425
0.44100000000000034 358.4023614955683 12.560500536540644 0.09127621618183682 0.512420003708741 0 59.182634236927015
0.45900000000000035 357.98607679120437 13.512606387350388 0.07838185771816153 0.554193055123056 0 59.18263423696487
0.47700000000000037 357.5244089115601 14.550358511309128 0.062213810037092386 0.5995187181319074 0 59.18263423701589
0.4950000000000004 357.0142188719041 15.679336630789123 0.042321239523519155 0.648809528701012 0 59.18263423708327
0.5130000000000003 356.4525786400195 16.904974784043304 0.018197730508582498 0.7025266409313513 0 59.182634237170234
0.5310000000000004 355.8368917971794 18.23241845097965 -0.010721039371617258 0.7611820238591059 0 59.18263423727965
0.5490000000000004 355.16502352485924 19.666373110854693 -0.04505725873021583 0.825338430626735 0 59.182634237413474
0.5670000000000004 354.43543176416216 21.21095602291365 -0.08548763252823628 0.8956062121600784 0 59.18263423757213
0.5850000000000004 353.64728914146605 22.869566113631663 -0.13273584647974473 0.9726361043483989 0 59.182634237754016
0.6030000000000004 352.8005842515172 24.64478821297149 -0.1875602319325588 1.0571073650145877 0 59.18263423795519
0.6210000000000004 351.8961917900902 26.53834663019427 -0.2507364814135808 1.1497110836391333 0 59.18263423816933
0.6390000000000005 350.9359041055516 28.551118854991444 -0.3230358730182848 1.251129077798914 0 59.18263423838812
0.6570000000000005 349.9224216632463 30.683213507084986 -0.40520009055288614 1.3620094053572458 0 59.18263423860192
0.6750000000000005 348.8593057452833 32.93410887576556 -0.49791421836473027 1.4829400057027757 0 59.18263423880074
0.6930000000000005 347.750902146032 35.302841299024465 -0.6017797089487168 1.6144222018698382 0 59.18263423897507
0.7110000000000005 346.6022484702186 37.78822788568965 -0.7172890066837867 1.7568456866739852 0 59.18263423911677
0.7290000000000005 345.4189792088885 40.389106609772 -0.8448031001050949 1.910466215612006 0 59.182634239219695
0.7470000000000006 344.20724207209787 43.10457855216879 -0.9845326852286429 2.075386651393297 0 59.182634239280006
0.7650000000000006 342.97363670053295 45.93424116333608 -1.1365230013837504 2.251541394182193 0 59.182634239296256
0.7830000000000006 341.7251837480932 48.87840662084113 -1.3006418752767004 2.4386837118930993 0 59.18263423926943
0.8010000000000006 340.4693292585823 51.93830448046634 -1.4765701529123787 2.636375128898076 0 59.18263423920261
0.8190000000000006 339.21398681151555 55.116272052954855 -1.6637935320655546 2.8439758580655363 0 59.18263423910088
0.8370000000000006 337.96761829634534 58.415938889072436 -1.8615948134671423 3.060635253163392 0 59.1826342389711
0.8550000000000006 336.73935329092177 61.84241334550484 -2.0690457406224896 3.2852813900434548 0 59.182634238821954
0.8730000000000007 335.53914652607637 65.40247947401122 -2.2849978865866483 3.5166091456096646 0 59.18263423866421
0.8910000000000007 334.3779722653343 69.10481137107479 -2.5080725001541553 3.7530665614725978 0 59.18263423851135
0.9090000000000007 333.26805282174615 72.96020927570237 -2.7366499328613805 3.992839941985445 0 59.18263423838053
0.9270000000000007 332.2231146831157 76.98185617508949 -2.968860406620312 4.233839216890397 0 59.18263423829428
0.9450000000000007 331.25865795756647 81.1855836337005 -3.202579742719469 4.47368688864058 0 59.1826342382827
